Wavalength (Ang)	Flux (x10^-17 erg/cm^2/s/Ang)
3319.9989348	2.1572435
3320.7642648	-2.7551782
3321.5281514	-2.2260981
3322.2942031	-0.8186672
3323.0584506	-2.3887176
3323.8248631	1.1468000
3324.5894714	-1.1570370
3325.3544405	0.4937276
3326.1212138	6.0427350
3326.8861830	0.9321160
3327.6533171	0.1531858
3328.4190080	1.5513994
3329.1865029	0.7411174
3329.9521938	-1.9989643
3330.7182454	-4.5976331
3331.4864621	0.3246596
3332.2528746	0.9522357
3333.0214520	1.0549665
3333.7882254	3.2106732
3334.5568029	0.6906251
3335.3239370	-0.3814130
3336.0910712	0.6762559
3336.8603703	-3.3385342
3337.6282261	-0.7561336
3338.3978861	3.8050093
3339.1657420	4.3647819
3339.9357628	1.4043496
3340.7039795	-0.1529594
3341.4725569	-0.3982074
3342.2432994	0.3036186
3343.0122378	1.0587005
3343.7829803	-0.1268352
3344.5522794	-0.0241353
3345.3233828	0.3268991
3346.0930428	4.3002817
3346.8627028	3.5319371
3347.6345278	2.8407315
3348.4045486	5.2298878
3349.1767344	4.4408870
3349.9474769	2.4109102
3350.7196628	4.7869230
3351.4907661	1.1580705
3352.2615086	-0.8758237
3353.0347769	1.1343005
3353.8058803	-0.8605356
3354.5795094	-1.1046127
3355.3509736	1.3071431
3356.1249636	1.9387485
3356.8967886	1.8957119
3357.6693353	-1.9155807
3358.4433253	-0.0563911
3359.2158720	-3.2801749
3359.9905837	-1.5863571
3360.7634912	1.3534329
3361.5385637	-1.5055206
3362.3118320	1.1660731
3363.0854612	-0.9858687
3363.8608945	-1.5855134
3364.6348846	-0.3283235
3365.4106787	2.6496329
3366.1850296	4.9590828
3366.9611846	-1.8559576
3367.7355354	-3.5916686
3368.5106080	0.0778351
3369.2871238	-1.5057831
3370.0621963	-2.5300473
3370.8394338	-3.5634411
3371.6148672	-4.1983695
3372.3924655	-3.9970113
3373.1682597	-1.3437016
3373.9440539	-0.9458212
3374.7223739	-2.0434419
3375.4985289	3.6346861
3376.2768490	0.3061714
3377.0537257	-0.5659023
3377.8324065	5.0182594
3378.6092832	0.9556622
3379.3886857	0.3586269
3380.1659233	0.3574124
3380.9435216	0.9607997
3381.7232850	-0.4057451
3382.5012442	-0.4211443
3383.2810075	2.2098092
3384.0593275	-1.0928413
3384.8398126	-1.7142431
3385.6184934	-2.4008743
3386.3975351	0.1837241
3387.1783810	0.0047754
3387.9574227	-0.9431546
3388.7386294	-1.5501607
3389.5183927	1.7587540
3390.2999603	2.9053864
3391.0797236	0.5540702
3391.8598478	0.8611179
3392.6421370	0.6498655
3393.4226221	3.0582970
3394.2052721	2.7226868
3394.9861180	0.5248983
3395.7687680	2.7155315
3396.5499747	3.8672223
3397.3315422	0.3542575
3398.1149140	-0.1198937
3398.8964815	2.1795136
3399.6802140	3.9865515
3400.4625032	0.7969580
3401.2465966	-0.4639384
3402.0288858	4.3380787
3402.8115359	0.6856498
3403.5963509	3.1819636
3404.3793618	4.1568569
3405.1645376	1.6501702
3405.9479094	5.8466577
3406.7330852	3.9382381
3407.5168178	2.2210424
3408.3009112	4.3345166
3409.0868087	5.5503621
3409.8709021	1.9869984
3410.6571605	0.8990582
3411.4419755	2.5575773
3412.2285947	4.1528484
3413.0134098	7.1538683
3413.7985856	4.9633102
3414.5859265	3.9221557
3415.3714632	5.9998534
3416.1591650	3.8590791
3416.9447017	3.9114034
3417.7327642	7.7328853
3418.5190226	4.2938448
3419.3056418	2.8871945
3420.0940652	7.0539763
3420.8806844	6.3532947
3421.6694687	3.9717000
3422.4568096	5.1990962
3423.2459546	3.8044012
3424.0336563	5.9977214
3424.8209972	6.8886667
3425.6108639	5.5858860
3426.3989265	7.2993551
3427.1891541	8.4542388
3427.9775775	8.0306404
3428.7681659	7.6836327
3429.5569501	5.3054346
3430.3457343	6.3438771
3431.1366835	7.7333625
3431.9261894	5.5312528
3432.7174995	4.8856534
3433.5073662	4.8662622
3434.2990371	2.2526942
3435.0889038	2.0222134
3435.8791314	3.6806957
3436.6715240	4.3283062
3437.4621124	6.2909255
3438.2548658	4.3004243
3439.0458150	1.7820592
3439.8389293	2.5660944
3440.6302393	0.7010201
3441.4237144	1.0691572
3442.2153853	3.2102382
3443.0070562	2.7598312
3443.8012529	2.1948244
3444.5932847	1.3731367
3445.3874814	4.8056912
3446.1802348	2.0661567
3446.9747924	-0.9623849
3447.7679066	1.0703096
3448.5610209	2.1131511
3449.3563001	4.6612530
3450.1497752	0.4879609
3450.9454153	-0.3532711
3451.7392512	2.6595671
3452.5352521	2.3499348
3453.3294488	1.8101211
3454.1240064	3.1992977
3454.9203682	-1.2365350
3455.7152866	1.5635916
3456.5120091	2.8412768
3457.3072884	2.6583197
3458.1047326	4.4389565
3458.9000119	3.6077105
3459.6956520	3.1663699
3460.4934571	3.3982636
3461.2898188	-0.1613144
3462.0879847	-0.3053653
3462.8843465	2.5723680
3463.6828732	0.7546538
3464.4795958	0.5844889
3465.2766792	1.8007000
3466.0755668	4.6404854
3466.8730111	1.4505344
3467.6726203	3.1288499
3468.4704254	8.4470138
3469.2700347	5.5431795
3470.0682006	3.0061266
3470.8663665	2.8571214
3471.6666975	4.5287520
3472.4655850	5.5112735
3473.2662768	5.6751678
3474.0651644	4.4170459
3474.8662170	3.2923250
3475.6658263	4.3347674
3476.4654355	3.6650669
3477.2668490	3.6119383
3478.0668190	6.5509006
3478.8689541	5.3764531
3479.6692851	3.3564999
3480.4717810	3.2531387
3481.2724728	4.7279102
3482.0731645	6.8765848
3482.8763821	5.6222980
3483.6774347	6.0280804
3484.4806523	9.2355679
3485.2824266	3.0088157
3486.0860050	4.3506214
3486.8881401	6.6164014
3487.6902753	1.0077155
3488.4945754	1.9955489
3489.2970713	4.1394762
3490.1017322	0.4648157
3490.9045890	5.3460417
3491.7096108	5.6149254
3492.5128284	2.7480703
3493.3160460	2.8269499
3494.1217894	2.6594672
3494.9257287	3.5991410
3495.7314722	6.5492985
3496.5357723	6.0401336
3497.3418765	2.9697696
3498.1465375	4.5060043
3498.9511984	5.8365433
3499.7580244	4.8794118
3500.5634070	5.5296618
3501.3705938	1.5237793
3502.1759764	3.4165788
3502.9835240	7.8605796
3503.7892675	2.9856871
3504.5975367	3.2114369
3505.4036410	7.4793527
3506.2101061	5.0149003
3507.0183754	4.1436923
